Base unit;Base unit value;derived unit;scale factor;Synonyms:;;;;
Bq;11;;;;;;;
;;mBq;1,00E-03;;;;;
;;µBq;1,00E-06;;;;;
;;kBq;1,00E+03;;;;;
s;21;;;;;;;
;;min;60;;;;;
;;h;3600;;;;;
;;d;86400;;;;;
1/s;0,047619048;;;;;;;
;;cps;1;;;;;
;;cpm;0,016666667;;;;;
;;cph;0,000277778;;;;;
;;1/min;0,016666667;;;;;
;;1/h;0,000277778;;;;;
kg;41;;;;;;;
;;g;1,00E-03;;;;;
;;mg;1,00E-06;;;;;
;;µg;1,00E-09;;;;;
;;ng;1,00E-12;;;;;
m;51;;;;;;;
;;cm;1,00E-02;;;;;
m2;61;m^2;;m²;;;;
;;cm2;1,00E-04;;;;;
;;cm^2;1,00E-04;;;;;
m3;71;m^3;;m³;;;;
;;cm3;1,00E-06;;;;;
;;cm^3;1,00E-06;;;;;
L;81;Litre;;Lit;Liter;;;
;;mL;1,00E-03;;;;;
;;µL;1,00E-06;;;;;
1;1;;;counts;Impulse;Imp;Imp.; 
chn;101;channel;;Kan;Kanäle;channels;;
µSv;111;mikroSievert;;;;;;
;;nSv;1,00E-03;;;;;
;;mSv;1,00E+03;;;;;
u;121;;;uamu;;;;
